measure,1m_annualised,3m_annualised,6m_annualised,12m_annualised
Headline CPI,-0.11458407828747941,-0.01043721440238754,-0.033478468888126445,-0.033375375958086706
Monthly CPI Indicator,-0.0635421897164773,-0.054948498296298776,-0.04011933741128215,-0.03351519875292297
